Time,QueueSize,QueueOccupancy,DropProbability,RandomNumber,PacketDropped,PacketsDropped,PacketsForwarded,PacketsReceived
0.2,0,0,0,-1,0,0,0,1
0.4,1,0.1,0,-1,0,0,0,2
0.6,2,0.2,0,-1,0,0,0,3
0.8,3,0.3,0,-1,0,0,0,4
1,4,0.4,0,-1,0,0,0,5
1.2,3,0.3,0,-1,0,0,1,5
1.2,4,0.4,0,-1,0,0,1,6
1.4,5,0.5,0,-1,0,0,1,7
1.6,6,0.6,0,-1,0,0,1,8
1.8,7,0.7,0.333333,0.548814,0,0,1,9
2,8,0.8,0.666667,0.592845,0,0,1,10
2.2,7,0.7,0.333333,-1,0,0,2,10
2.2,8,0.8,0.666667,0.715189,0,0,2,11
2.4,9,0.9,1,0.844266,0,0,2,12
2.6,9,0.9,1,0.602763,1,1,2,13
2.8,9,0.9,1,0.857946,1,2,2,14
3,9,0.9,1,0.544883,1,3,2,15
3.2,8,0.8,0.666667,-1,0,3,3,15
3.2,9,0.9,1,0.847252,0,3,3,16
3.4,9,0.9,1,0.423655,1,4,3,17
3.6,9,0.9,1,0.623564,1,5,3,18
3.8,9,0.9,1,0.645894,1,6,3,19
4,9,0.9,1,0.384382,1,7,3,20
4.2,8,0.8,0.666667,-1,0,7,4,20
4.2,8,0.8,0.666667,0.437587,1,8,4,21
4.4,8,0.8,0.666667,0.297535,1,9,4,22
4.6,9,0.9,1,0.891773,0,9,4,23
4.8,9,0.9,1,0.056713,1,10,4,24
5,9,0.9,1,0.963663,1,11,4,25
5.2,8,0.8,0.666667,-1,0,11,5,25
5.2,8,0.8,0.666667,0.272656,1,12,5,26
5.4,8,0.8,0.666667,0.383442,1,13,5,27
5.6,8,0.8,0.666667,0.477665,1,14,5,28
5.8,9,0.9,1,0.791725,0,14,5,29
6,9,0.9,1,0.812169,1,15,5,30
6.2,8,0.8,0.666667,-1,0,15,6,30
6.2,8,0.8,0.666667,0.528895,1,16,6,31
6.4,8,0.8,0.666667,0.479977,1,17,6,32
6.6,8,0.8,0.666667,0.568045,1,18,6,33
6.8,8,0.8,0.666667,0.392785,1,19,6,34
7,9,0.9,1,0.925597,0,19,6,35
7.2,8,0.8,0.666667,-1,0,19,7,35
7.2,9,0.9,1,0.836079,0,19,7,36
7.4,9,0.9,1,0.0710361,1,20,7,37
7.6,9,0.9,1,0.337396,1,21,7,38
7.8,9,0.9,1,0.0871293,1,22,7,39
8,9,0.9,1,0.648172,1,23,7,40
8.2,8,0.8,0.666667,-1,0,23,8,40
8.2,8,0.8,0.666667,0.0202184,1,24,8,41
8.4,8,0.8,0.666667,0.368242,1,25,8,42
8.6,9,0.9,1,0.83262,0,25,8,43
8.8,9,0.9,1,0.957155,1,26,8,44
9,9,0.9,1,0.778157,1,27,8,45
9.2,8,0.8,0.666667,-1,0,27,9,45
