Time,QueueSize,QueueOccupancy,DropProbability,RandomNumber,PacketDropped,PacketsDropped,PacketsForwarded,PacketsReceived
9.2,8,0.8,0.666667,0.140351,1,28,9,46
9.4,9,0.9,1,0.870012,0,28,9,47
9.6,9,0.9,1,0.870087,1,29,9,48
9.8,9,0.9,1,0.978618,1,30,9,49
10,9,0.9,1,0.473608,1,31,9,50
10.2,8,0.8,0.666667,-1,0,31,10,50
10.2,9,0.9,1,0.799159,0,31,10,51
10.4,9,0.9,1,0.800911,1,32,10,52
10.6,9,0.9,1,0.461479,1,33,10,53
10.8,9,0.9,1,0.520477,1,34,10,54
11,9,0.9,1,0.780529,1,35,10,55
11.2,8,0.8,0.666667,-1,0,35,11,55
11.2,9,0.9,1,0.67888,0,35,11,56
11.4,9,0.9,1,0.118274,1,36,11,57
11.6,9,0.9,1,0.720633,1,37,11,58
11.8,9,0.9,1,0.639921,1,38,11,59
12,9,0.9,1,0.58202,1,39,11,60
12.2,8,0.8,0.666667,-1,0,39,12,60
12.2,8,0.8,0.666667,0.143353,1,40,12,61
12.4,8,0.8,0.666667,0.537373,1,41,12,62
12.6,9,0.9,1,0.944669,0,41,12,63
12.8,9,0.9,1,0.758616,1,42,12,64
13,9,0.9,1,0.521848,1,43,12,65
13.2,8,0.8,0.666667,-1,0,43,13,65
13.2,8,0.8,0.666667,0.105908,1,44,13,66
13.4,8,0.8,0.666667,0.414662,1,45,13,67
13.6,8,0.8,0.666667,0.4736,1,46,13,68
13.8,8,0.8,0.666667,0.264556,1,47,13,69
14,8,0.8,0.666667,0.186332,1,48,13,70
14.2,7,0.7,0.333333,-1,0,48,14,70
14.2,8,0.8,0.666667,0.774234,0,48,14,71
14.4,9,0.9,1,0.736918,0,48,14,72
14.6,9,0.9,1,0.45615,1,49,14,73
14.8,9,0.9,1,0.21655,1,50,14,74
15,9,0.9,1,0.568434,1,51,14,75
15.2,8,0.8,0.666667,-1,0,51,15,75
15.2,8,0.8,0.666667,0.135218,1,52,15,76
15.4,8,0.8,0.666667,0.0187898,1,53,15,77
15.6,8,0.8,0.666667,0.324141,1,54,15,78
15.8,8,0.8,0.666667,0.617636,1,55,15,79
16,8,0.8,0.666667,0.149675,1,56,15,80
16.2,7,0.7,0.333333,-1,0,56,16,80
16.2,8,0.8,0.666667,0.612096,0,56,16,81
16.4,8,0.8,0.666667,0.222321,1,57,16,82
16.6,8,0.8,0.666667,0.616934,1,58,16,83
16.8,8,0.8,0.666667,0.386489,1,59,16,84
17,9,0.9,1,0.943748,0,59,16,85
17.2,8,0.8,0.666667,-1,0,59,17,85
17.2,9,0.9,1,0.902598,0,59,17,86
17.4,9,0.9,1,0.68182,1,60,17,87
17.6,9,0.9,1,0.44995,1,61,17,88
17.8,9,0.9,1,0.359508,1,62,17,89
18,9,0.9,1,0.613063,1,63,17,90
18.2,8,0.8,0.666667,-1,0,63,18,90
18.2,8,0.8,0.666667,0.437032,1,64,18,91
18.4,9,0.9,1,0.902349,0,64,18,92
18.6,9,0.9,1,0.697631,1,65,18,93
18.8,9,0.9,1,0.0992804,1,66,18,94
19,9,0.9,1,0.0602255,1,67,18,95
19.2,8,0.8,0.666667,-1,0,67,19,95
19.2,9,0.9,1,0.969809,0,67,19,96
19.4,9,0.9,1,0.666767,1,68,19,97
19.6,9,0.9,1,0.65314,1,69,19,98
19.8,9,0.9,1,0.670638,1,70,19,99
20,9,0.9,1,0.17091,1,71,19,100
20.2,8,0.8,0.666667,-1,0,71,20,100
20.2,8,0.8,0.666667,0.210383,1,72,20,101
20.4,8,0.8,0.666667,0.358152,1,73,20,102
20.6,8,0.8,0.666667,0.128926,1,74,20,103
20.8,9,0.9,1,0.750686,0,74,20,104
21,9,0.9,1,0.315428,1,75,20,105
21.2,8,0.8,0.666667,-1,0,75,21,105
21.2,8,0.8,0.666667,0.607831,1,76,21,106
21.4,8,0.8,0.666667,0.363711,1,77,21,107
21.6,8,0.8,0.666667,0.325047,1,78,21,108
21.8,8,0.8,0.666667,0.570197,1,79,21,109
22,8,0.8,0.666667,0.0384254,1,80,21,110
22.2,7,0.7,0.333333,-1,0,80,22,110
22.2,8,0.8,0.666667,0.438602,0,80,22,111
22.4,8,0.8,0.666667,0.634274,1,81,22,112
22.6,9,0.9,1,0.988374,0,81,22,113
22.8,9,0.9,1,0.958949,1,82,22,114
23,9,0.9,1,0.102045,1,83,22,115
23.2,8,0.8,0.666667,-1,0,83,23,115
23.2,8,0.8,0.666667,0.65279,1,84,23,116
23.4,8,0.8,0.666667,0.208877,1,85,23,117
23.6,8,0.8,0.666667,0.635059,1,86,23,118
23.8,8,0.8,0.666667,0.16131,1,87,23,119
24,9,0.9,1,0.9953,0,87,23,120
24.2,8,0.8,0.666667,-1,0,87,24,120
24.2,8,0.8,0.666667,0.653108,1,88,24,121
24.4,8,0.8,0.666667,0.58185,1,89,24,122
24.6,8,0.8,0.666667,0.253292,1,90,24,123
24.8,8,0.8,0.666667,0.414369,1,91,24,124
25,8,0.8,0.666667,0.466311,1,92,24,125
25.2,7,0.7,0.333333,-1,0,92,25,125
25.2,8,0.8,0.666667,0.474698,0,92,25,126
25.4,8,0.8,0.666667,0.244426,1,93,25,127
25.6,8,0.8,0.666667,0.62351,1,94,25,128
25.8,8,0.8,0.666667,0.15897,1,95,25,129
26,8,0.8,0.666667,0.338008,1,96,25,130
26.2,7,0.7,0.333333,-1,0,96,26,130
26.2,7,0.7,0.333333,0.110375,1,97,26,131
26.4,8,0.8,0.666667,0.674752,0,97,26,132
26.6,8,0.8,0.666667,0.65633,1,98,26,133
26.8,8,0.8,0.666667,0.317202,1,99,26,134
27,8,0.8,0.666667,0.138183,1,100,26,135
27.2,7,0.7,0.333333,-1,0,100,27,135
27.2,8,0.8,0.666667,0.778345,0,100,27,136
27.4,8,0.8,0.666667,0.196582,1,101,27,137
27.6,9,0.9,1,0.949571,0,101,27,138
27.8,9,0.9,1,0.368725,1,102,27,139
28,9,0.9,1,0.662527,1,103,27,140
28.2,8,0.8,0.666667,-1,0,103,28,140
28.2,9,0.9,1,0.820993,0,103,28,141
28.4,9,0.9,1,0.0135716,1,104,28,142
28.6,9,0.9,1,0.0971013,1,105,28,143
28.8,9,0.9,1,0.622846,1,106,28,144
29,9,0.9,1,0.837945,1,107,28,145
29.2,8,0.8,0.666667,-1,0,107,29,145
29.2,9,0.9,1,0.67366,0,107,29,146
29.4,9,0.9,1,0.0960984,1,108,29,147
29.6,9,0.9,1,0.971945,1,109,29,148
29.8,9,0.9,1,0.976459,1,110,29,149
30,9,0.9,1,0.878193,1,111,29,150
30.2,8,0.8,0.666667,-1,0,111,30,150
30.2,8,0.8,0.666667,0.468651,1,112,30,151
30.4,8,0.8,0.666667,0.509624,1,113,30,152
30.6,9,0.9,1,0.976761,0,113,30,153
30.8,9,0.9,1,0.0557147,1,114,30,154
31,9,0.9,1,0.604846,1,115,30,155
31.2,8,0.8,0.666667,-1,0,115,31,155
31.2,8,0.8,0.666667,0.451159,1,116,31,156
31.4,9,0.9,1,0.739264,0,116,31,157
31.6,9,0.9,1,0.0199877,1,117,31,158
31.8,9,0.9,1,0.0391878,1,118,31,159
32,9,0.9,1,0.441711,1,119,31,160
32.2,8,0.8,0.666667,-1,0,119,32,160
32.2,8,0.8,0.666667,0.282807,1,120,32,161
32.4,9,0.9,1,0.979587,0,120,32,162
32.6,9,0.9,1,0.120197,1,121,32,163
32.8,9,0.9,1,0.359444,1,122,32,164
33,9,0.9,1,0.29614,1,123,32,165
33.2,8,0.8,0.666667,-1,0,123,33,165
33.2,8,0.8,0.666667,0.480894,1,124,33,166
33.4,8,0.8,0.666667,0.118728,1,125,33,167
33.6,9,0.9,1,0.688661,0,125,33,168
33.8,9,0.9,1,0.317983,1,126,33,169
34,9,0.9,1,0.880476,1,127,33,170
34.2,8,0.8,0.666667,-1,0,127,34,170
34.2,8,0.8,0.666667,0.414263,1,128,34,171
34.4,9,0.9,1,0.918235,0,128,34,172
34.6,9,0.9,1,0.0641475,1,129,34,173
34.8,9,0.9,1,0.216822,1,130,34,174
35,9,0.9,1,0.692472,1,131,34,175
35.2,8,0.8,0.666667,-1,0,131,35,175
35.2,8,0.8,0.666667,0.565189,1,132,35,176
35.4,8,0.8,0.666667,0.566601,1,133,35,177
35.6,9,0.9,1,0.865103,0,133,35,178
35.8,9,0.9,1,0.265389,1,134,35,179
36,9,0.9,1,0.508969,1,135,35,180
36.2,8,0.8,0.666667,-1,0,135,36,180
36.2,8,0.8,0.666667,0.523248,1,136,36,181
36.4,9,0.9,1,0.916723,0,136,36,182
36.6,9,0.9,1,0.0939405,1,137,36,183
36.8,9,0.9,1,0.921158,1,138,36,184
37,9,0.9,1,0.575946,1,139,36,185
37.2,8,0.8,0.666667,-1,0,139,37,185
37.2,8,0.8,0.666667,0.0831125,1,140,37,186
37.4,9,0.9,1,0.929296,0,140,37,187
37.6,9,0.9,1,0.277719,1,141,37,188
37.8,9,0.9,1,0.318569,1,142,37,189
38,9,0.9,1,0.0093567,1,143,37,190
38.2,8,0.8,0.666667,-1,0,143,38,190
38.2,9,0.9,1,0.66741,0,143,38,191
38.4,9,0.9,1,0.842342,1,144,38,192
38.6,9,0.9,1,0.131798,1,145,38,193
38.8,9,0.9,1,0.647174,1,146,38,194
39,9,0.9,1,0.716327,1,147,38,195
39.2,8,0.8,0.666667,-1,0,147,39,195
39.2,9,0.9,1,0.841386,0,147,39,196
39.4,9,0.9,1,0.289406,1,148,39,197
39.6,9,0.9,1,0.26473,1,149,39,198
39.8,9,0.9,1,0.183191,1,150,39,199
40,9,0.9,1,0.397821,1,151,39,200
40.2,8,0.8,0.666667,-1,0,151,40,200
40.2,8,0.8,0.666667,0.586513,1,152,40,201
40.4,8,0.8,0.666667,0.552821,1,153,40,202
40.6,8,0.8,0.666667,0.0201076,1,154,40,203
40.8,8,0.8,0.666667,0.16494,1,155,40,204
41,9,0.9,1,0.82894,0,155,40,205
41.2,8,0.8,0.666667,-1,0,155,41,205
41.2,8,0.8,0.666667,0.369808,1,156,41,206
41.4,8,0.8,0.666667,0.00469548,1,157,41,207
41.6,8,0.8,0.666667,0.146442,1,158,41,208
41.8,9,0.9,1,0.677817,0,158,41,209
42,9,0.9,1,0.569618,1,159,41,210
42.2,8,0.8,0.666667,-1,0,159,42,210
42.2,8,0.8,0.666667,0.270008,1,160,42,211
42.4,9,0.9,1,0.703737,0,160,42,212
42.6,9,0.9,1,0.735194,1,161,42,213
42.8,9,0.9,1,0.288476,1,162,42,214
43,9,0.9,1,0.962189,1,163,42,215
43.2,8,0.8,0.666667,-1,0,163,43,215
43.2,8,0.8,0.666667,0.433288,1,164,43,216
43.4,8,0.8,0.666667,0.248753,1,165,43,217
43.6,9,0.9,1,0.756107,0,165,43,218
43.8,9,0.9,1,0.576157,1,166,43,219
44,9,0.9,1,0.396098,1,167,43,220
44.2,8,0.8,0.666667,-1,0,167,44,220
44.2,8,0.8,0.666667,0.592042,1,168,44,221
44.4,9,0.9,1,0.896038,0,168,44,222
44.6,9,0.9,1,0.572252,1,169,44,223
44.8,9,0.9,1,0.638921,1,170,44,224
45,9,0.9,1,0.223082,1,171,44,225
45.2,8,0.8,0.666667,-1,0,171,45,225
45.2,9,0.9,1,0.891554,0,171,45,226
45.4,9,0.9,1,0.952749,1,172,45,227
45.6,9,0.9,1,0.680056,1,173,45,228
45.8,9,0.9,1,0.447125,1,174,45,229
46,9,0.9,1,0.449198,1,175,45,230
46.2,8,0.8,0.666667,-1,0,175,46,230
46.2,9,0.9,1,0.846409,0,175,46,231
46.4,9,0.9,1,0.978571,1,176,46,232
46.6,9,0.9,1,0.699479,1,177,46,233
46.8,9,0.9,1,0.116202,1,178,46,234
47,9,0.9,1,0.297437,1,179,46,235
47.2,8,0.8,0.666667,-1,0,179,47,235
47.2,9,0.9,1,0.767024,0,179,47,236
47.4,9,0.9,1,0.813798,1,180,47,237
47.6,9,0.9,1,0.41182,1,181,47,238
47.8,9,0.9,1,0.396506,1,182,47,239
48,9,0.9,1,0.675439,1,183,47,240
48.2,8,0.8,0.666667,-1,0,183,48,240
48.2,9,0.9,1,0.881103,0,183,48,241
48.4,9,0.9,1,0.249796,1,184,48,242
48.6,9,0.9,1,0.581273,1,185,48,243
48.8,9,0.9,1,0.313218,1,186,48,244
49,9,0.9,1,0.881735,1,187,48,245
49.2,8,0.8,0.666667,-1,0,187,49,245
49.2,9,0.9,1,0.965416,0,187,49,246
49.4,9,0.9,1,0.692532,1,188,49,247
49.6,9,0.9,1,0.588465,1,189,49,248
49.8,9,0.9,1,0.725254,1,190,49,249
50,9,0.9,1,0.659668,1,191,49,250
50.2,8,0.8,0.666667,-1,0,191,50,250
50.2,8,0.8,0.666667,0.501324,1,192,50,251
50.4,8,0.8,0.666667,0.533206,1,193,50,252
50.6,9,0.9,1,0.956084,0,193,50,253
50.8,9,0.9,1,0.230533,1,194,50,254
51,9,0.9,1,0.64399,1,195,50,255
51.2,8,0.8,0.666667,-1,0,195,51,255
51.2,8,0.8,0.666667,0.394869,1,196,51,256
51.4,8,0.8,0.666667,0.423855,1,197,51,257
51.6,8,0.8,0.666667,0.618809,1,198,51,258
51.8,8,0.8,0.666667,0.606393,1,199,51,259
52,8,0.8,0.666667,0.474868,1,200,51,260
52.2,7,0.7,0.333333,-1,0,200,52,260
52.2,7,0.7,0.333333,0.0191932,1,201,52,261
52.4,8,0.8,0.666667,0.470132,0,201,52,262
52.6,8,0.8,0.666667,0.301575,1,202,52,263
52.8,9,0.9,1,0.716075,0,202,52,264
53,9,0.9,1,0.660174,1,203,52,265
53.2,8,0.8,0.666667,-1,0,203,53,265
53.2,8,0.8,0.666667,0.287991,1,204,53,266
53.4,8,0.8,0.666667,0.290078,1,205,53,267
53.6,8,0.8,0.666667,0.383462,1,206,53,268
53.8,8,0.8,0.666667,0.618015,1,207,53,269
54,9,0.9,1,0.74917,0,207,53,270
54.2,8,0.8,0.666667,-1,0,207,54,270
54.2,8,0.8,0.666667,0.428769,1,208,54,271
54.4,9,0.9,1,0.878452,0,208,54,272
54.6,9,0.9,1,0.135474,1,209,54,273
54.8,9,0.9,1,0.102863,1,210,54,274
55,9,0.9,1,0.298282,1,211,54,275
55.2,8,0.8,0.666667,-1,0,211,55,275
55.2,8,0.8,0.666667,0.0923739,1,212,55,276
55.4,8,0.8,0.666667,0.569965,1,213,55,277
55.6,8,0.8,0.666667,0.354047,1,214,55,278
55.8,8,0.8,0.666667,0.590873,1,215,55,279
56,8,0.8,0.666667,0.551816,1,216,55,280
56.2,7,0.7,0.333333,-1,0,216,56,280
56.2,8,0.8,0.666667,0.574325,0,216,56,281
56.4,8,0.8,0.666667,0.0336251,1,217,56,282
56.6,8,0.8,0.666667,0.653201,1,218,56,283
56.8,9,0.9,1,0.968962,0,218,56,284
57,9,0.9,1,0.652103,1,219,56,285
57.2,8,0.8,0.666667,-1,0,219,57,285
57.2,8,0.8,0.666667,0.320997,1,220,57,286
57.4,8,0.8,0.666667,0.431418,1,221,57,287
57.6,8,0.8,0.666667,0.221263,1,222,57,288
57.8,9,0.9,1,0.896547,0,222,57,289
58,9,0.9,1,0.141264,1,223,57,290
58.2,8,0.8,0.666667,-1,0,223,58,290
58.2,8,0.8,0.666667,0.367562,1,224,58,291
58.4,8,0.8,0.666667,0.0972599,1,225,58,292
58.6,8,0.8,0.666667,0.435865,1,226,58,293
58.8,9,0.9,1,0.984042,0,226,58,294
59,9,0.9,1,0.891923,1,227,58,295
59.2,8,0.8,0.666667,-1,0,227,59,295
59.2,8,0.8,0.666667,0.260341,1,228,59,296
59.4,9,0.9,1,0.806194,0,228,59,297
59.6,9,0.9,1,0.537023,1,229,59,298
59.8,9,0.9,1,0.703889,1,230,59,299
60,9,0.9,1,0.447926,1,231,59,300
60.2,8,0.8,0.666667,-1,0,231,60,300
60.2,8,0.8,0.666667,0.100227,1,232,60,301
60.4,8,0.8,0.666667,0.0995691,1,233,60,302
60.6,9,0.9,1,0.919483,0,233,60,303
60.8,9,0.9,1,0.352312,1,234,60,304
61,9,0.9,1,0.714241,1,235,60,305
61.2,8,0.8,0.666667,-1,0,235,61,305
61.2,8,0.8,0.666667,0.469249,1,236,61,306
61.4,9,0.9,1,0.998847,0,236,61,307
61.6,9,0.9,1,0.84114,1,237,61,308
61.8,9,0.9,1,0.149448,1,238,61,309
62,9,0.9,1,0.904648,1,239,61,310
62.2,8,0.8,0.666667,-1,0,239,62,310
62.2,9,0.9,1,0.868126,0,239,62,311
62.4,9,0.9,1,0.0375594,1,240,62,312
62.6,9,0.9,1,0.162493,1,241,62,313
62.8,9,0.9,1,0.508315,1,242,62,314
63,9,0.9,1,0.61556,1,243,62,315
63.2,8,0.8,0.666667,-1,0,243,63,315
63.2,8,0.8,0.666667,0.166848,1,244,63,316
63.4,8,0.8,0.666667,0.12382,1,245,63,317
63.6,9,0.9,1,0.779051,0,245,63,318
63.8,9,0.9,1,0.848008,1,246,63,319
64,9,0.9,1,0.864933,1,247,63,320
64.2,8,0.8,0.666667,-1,0,247,64,320
64.2,9,0.9,1,0.807319,0,247,64,321
64.4,9,0.9,1,0.411397,1,248,64,322
64.6,9,0.9,1,0.569101,1,249,64,323
64.8,9,0.9,1,0.139973,1,250,64,324
65,9,0.9,1,0.407183,1,251,64,325
65.2,8,0.8,0.666667,-1,0,251,65,325
65.2,8,0.8,0.666667,0.0332224,1,252,65,326
65.4,8,0.8,0.666667,0.069167,1,253,65,327
65.6,9,0.9,1,0.982575,0,253,65,328
65.8,9,0.9,1,0.697429,1,254,65,329
66,9,0.9,1,0.373291,1,255,65,330
66.2,8,0.8,0.666667,-1,0,255,66,330
66.2,8,0.8,0.666667,0.453543,1,256,66,331
66.4,8,0.8,0.666667,0.420075,1,257,66,332
66.6,9,0.9,1,0.722056,0,257,66,333
66.8,9,0.9,1,0.0505881,1,258,66,334
67,9,0.9,1,0.866382,1,259,66,335
67.2,8,0.8,0.666667,-1,0,259,67,335
67.2,8,0.8,0.666667,0.365496,1,260,67,336
67.4,9,0.9,1,0.975522,0,260,67,337
67.6,9,0.9,1,0.016628,1,261,67,338
67.8,9,0.9,1,0.855803,1,262,67,339
68,9,0.9,1,0.230742,1,263,67,340
68.2,8,0.8,0.666667,-1,0,263,68,340
68.2,8,0.8,0.666667,0.0117141,1,264,68,341
68.4,9,0.9,1,0.764912,0,264,68,342
68.6,9,0.9,1,0.359978,1,265,68,343
68.8,9,0.9,1,0.944124,1,266,68,344
69,9,0.9,1,0.729991,1,267,68,345
69.2,8,0.8,0.666667,-1,0,267,69,345
69.2,9,0.9,1,0.749999,0,267,69,346
69.4,9,0.9,1,0.17163,1,268,69,347
69.6,9,0.9,1,0.339404,1,269,69,348
69.8,9,0.9,1,0.521037,1,270,69,349
70,9,0.9,1,0.489549,1,271,69,350
70.2,8,0.8,0.666667,-1,0,271,70,350
70.2,8,0.8,0.666667,0.054338,1,272,70,351
70.4,8,0.8,0.666667,0.338985,1,273,70,352
70.6,8,0.8,0.666667,0.199997,1,274,70,353
70.8,8,0.8,0.666667,0.17949,1,275,70,354
71,8,0.8,0.666667,0.0185218,1,276,70,355
71.2,7,0.7,0.333333,-1,0,276,71,355
71.2,7,0.7,0.333333,0.170987,1,277,71,356
71.4,8,0.8,0.666667,0.793698,0,277,71,357
71.6,8,0.8,0.666667,0.463451,1,278,71,358
71.8,8,0.8,0.666667,0.223925,1,279,71,359
72,9,0.9,1,0.874573,0,279,71,360
72.2,8,0.8,0.666667,-1,0,279,72,360
72.2,8,0.8,0.666667,0.345352,1,280,72,361
72.4,9,0.9,1,0.94412,0,280,72,362
72.6,9,0.9,1,0.928081,1,281,72,363
72.8,9,0.9,1,0.608253,1,282,72,364
73,9,0.9,1,0.704414,1,283,72,365
73.2,8,0.8,0.666667,-1,0,283,73,365
73.2,8,0.8,0.666667,0.596655,1,284,73,366
73.4,8,0.8,0.666667,0.0318389,1,285,73,367
73.6,9,0.9,1,0.783644,0,285,73,368
73.8,9,0.9,1,0.164694,1,286,73,369
74,9,0.9,1,0.500026,1,287,73,370
74.2,8,0.8,0.666667,-1,0,287,74,370
74.2,8,0.8,0.666667,0.621478,1,288,74,371
74.4,8,0.8,0.666667,0.0503701,1,289,74,372
74.6,8,0.8,0.666667,0.577229,1,290,74,373
74.8,9,0.9,1,0.699098,0,290,74,374
75,9,0.9,1,0.237893,1,291,74,375
75.2,8,0.8,0.666667,-1,0,291,75,375
75.2,9,0.9,1,0.992396,0,291,75,376
75.4,9,0.9,1,0.934214,1,292,75,377
75.6,9,0.9,1,0.267263,1,293,75,378
75.8,9,0.9,1,0.613966,1,294,75,379
76,9,0.9,1,0.679091,1,295,75,380
76.2,8,0.8,0.666667,-1,0,295,76,380
76.2,8,0.8,0.666667,0.535633,1,296,76,381
76.4,9,0.9,1,0.864281,0,296,76,382
76.6,9,0.9,1,0.58991,1,297,76,383
76.8,9,0.9,1,0.750844,1,298,76,384
77,9,0.9,1,0.730122,1,299,76,385
77.2,8,0.8,0.666667,-1,0,299,77,385
77.2,9,0.9,1,0.96449,0,299,77,386
77.4,9,0.9,1,0.311945,1,300,77,387
77.6,9,0.9,1,0.554242,1,301,77,388
77.8,9,0.9,1,0.398221,1,302,77,389
78,9,0.9,1,0.212391,1,303,77,390
78.2,8,0.8,0.666667,-1,0,303,78,390
78.2,8,0.8,0.666667,0.209844,1,304,78,391
78.4,8,0.8,0.666667,0.222443,1,305,78,392
78.6,8,0.8,0.666667,0.186193,1,306,78,393
78.8,8,0.8,0.666667,0.218749,1,307,78,394
79,9,0.9,1,0.944372,0,307,78,395
79.2,8,0.8,0.666667,-1,0,307,79,395
79.2,8,0.8,0.666667,0.569574,1,308,79,396
79.4,9,0.9,1,0.739551,0,308,79,397
79.6,9,0.9,1,0.452109,1,309,79,398
79.8,9,0.9,1,0.490459,1,310,79,399
80,9,0.9,1,0.970237,1,311,79,400
80.2,8,0.8,0.666667,-1,0,311,80,400
80.2,8,0.8,0.666667,0.227415,1,312,80,401
80.4,9,0.9,1,0.680545,0,312,80,402
80.6,9,0.9,1,0.254356,1,313,80,403
80.8,9,0.9,1,0.0852956,1,314,80,404
81,9,0.9,1,0.0580292,1,315,80,405
81.2,8,0.8,0.666667,-1,0,315,81,405
81.2,8,0.8,0.666667,0.0564183,1,316,81,406
81.4,8,0.8,0.666667,0.434417,1,317,81,407
81.6,8,0.8,0.666667,0.487838,1,318,81,408
81.8,8,0.8,0.666667,0.311796,1,319,81,409
82,9,0.9,1,0.881005,0,319,81,410
82.2,8,0.8,0.666667,-1,0,319,82,410
82.2,9,0.9,1,0.696343,0,319,82,411
82.4,9,0.9,1,0.976404,1,320,82,412
82.6,9,0.9,1,0.377752,1,321,82,413
82.8,9,0.9,1,0.617658,1,322,82,414
83,9,0.9,1,0.179604,1,323,82,415
83.2,8,0.8,0.666667,-1,0,323,83,415
83.2,8,0.8,0.666667,0.542499,1,324,83,416
83.4,8,0.8,0.666667,0.0246787,1,325,83,417
83.6,9,0.9,1,0.854614,0,325,83,418
83.8,9,0.9,1,0.0672496,1,326,83,419
84,9,0.9,1,0.743835,1,327,83,420
84.2,8,0.8,0.666667,-1,0,327,84,420
84.2,9,0.9,1,0.679393,0,327,84,421
84.4,9,0.9,1,0.478596,1,328,84,422
84.6,9,0.9,1,0.453697,1,329,84,423
84.8,9,0.9,1,0.677082,1,330,84,424
85,9,0.9,1,0.536579,1,331,84,425
85.2,8,0.8,0.666667,-1,0,331,85,425
85.2,8,0.8,0.666667,0.607045,1,332,85,426
85.4,9,0.9,1,0.896671,0,332,85,427
85.6,9,0.9,1,0.714697,1,333,85,428
85.8,9,0.9,1,0.990339,1,334,85,429
86,9,0.9,1,0.469497,1,335,85,430
86.2,8,0.8,0.666667,-1,0,335,86,430
86.2,8,0.8,0.666667,0.216897,1,336,86,431
86.4,8,0.8,0.666667,0.456015,1,337,86,432
86.6,8,0.8,0.666667,0.663078,1,338,86,433
86.8,9,0.9,1,0.906418,0,338,86,434
87,9,0.9,1,0.263322,1,339,86,435
87.2,8,0.8,0.666667,-1,0,339,87,435
87.2,8,0.8,0.666667,0.13722,1,340,87,436
87.4,8,0.8,0.666667,0.020651,1,341,87,437
87.6,8,0.8,0.666667,0.229219,1,342,87,438
87.8,9,0.9,1,0.758379,0,342,87,439
88,9,0.9,1,0.881585,1,343,87,440
88.2,8,0.8,0.666667,-1,0,343,88,440
88.2,8,0.8,0.666667,0.320017,1,344,88,441
88.4,9,0.9,1,0.904425,0,344,88,442
88.6,9,0.9,1,0.383464,1,345,88,443
88.8,9,0.9,1,0.645785,1,346,88,444
89,9,0.9,1,0.588317,1,347,88,445
89.2,8,0.8,0.666667,-1,0,347,89,445
89.2,8,0.8,0.666667,0.324683,1,348,89,446
89.4,9,0.9,1,0.831048,0,348,89,447
89.6,9,0.9,1,0.519711,1,349,89,448
89.8,9,0.9,1,0.628982,1,350,89,449
