Time,QueueSize,QueueOccupancy,DropProbability,RandomNumber,PacketDropped,PacketsDropped,PacketsForwarded,PacketsReceived
0.3,0,0,0,-1,0,0,0,1
0.6,1,0.1,0,-1,0,0,0,2
0.9,2,0.2,0,-1,0,0,0,3
1.2,3,0.3,0,-1,0,0,0,4
1.3,2,0.2,0,-1,0,0,1,4
1.5,3,0.3,0,-1,0,0,1,5
1.8,4,0.4,0,-1,0,0,1,6
2.1,5,0.5,0,-1,0,0,1,7
2.3,4,0.4,0,-1,0,0,2,7
2.4,5,0.5,0,-1,0,0,2,8
2.7,6,0.6,0,-1,0,0,2,9
3,7,0.7,0.333333,0.548814,0,0,2,10
3.3,6,0.6,0,-1,0,0,3,10
3.3,7,0.7,0.333333,0.592845,0,0,3,11
3.6,8,0.8,0.666667,0.715189,0,0,3,12
3.9,9,0.9,1,0.844266,0,0,3,13
4.2,9,0.9,1,0.602763,1,1,3,14
4.3,8,0.8,0.666667,-1,0,1,4,14
4.5,9,0.9,1,0.857946,0,1,4,15
4.8,9,0.9,1,0.544883,1,2,4,16
5.1,9,0.9,1,0.847252,1,3,4,17
5.3,8,0.8,0.666667,-1,0,3,5,17
5.4,8,0.8,0.666667,0.423655,1,4,5,18
5.7,8,0.8,0.666667,0.623564,1,5,5,19
6,8,0.8,0.666667,0.645894,1,6,5,20
6.3,7,0.7,0.333333,-1,0,6,6,20
6.3,8,0.8,0.666667,0.384382,0,6,6,21
6.6,8,0.8,0.666667,0.437587,1,7,6,22
6.9,8,0.8,0.666667,0.297535,1,8,6,23
7.2,9,0.9,1,0.891773,0,8,6,24
7.3,8,0.8,0.666667,-1,0,8,7,24
7.5,8,0.8,0.666667,0.056713,1,9,7,25
7.8,9,0.9,1,0.963663,0,9,7,26
8.1,9,0.9,1,0.272656,1,10,7,27
8.3,8,0.8,0.666667,-1,0,10,8,27
8.4,8,0.8,0.666667,0.383442,1,11,8,28
8.7,8,0.8,0.666667,0.477665,1,12,8,29
9,9,0.9,1,0.791725,0,12,8,30
9.3,8,0.8,0.666667,-1,0,12,9,30
9.3,9,0.9,1,0.812169,0,12,9,31
9.6,9,0.9,1,0.528895,1,13,9,32
9.9,9,0.9,1,0.479977,1,14,9,33
10.2,9,0.9,1,0.568045,1,15,9,34
10.3,8,0.8,0.666667,-1,0,15,10,34
10.5,8,0.8,0.666667,0.392785,1,16,10,35
10.8,9,0.9,1,0.925597,0,16,10,36
11.1,9,0.9,1,0.836079,1,17,10,37
11.3,8,0.8,0.666667,-1,0,17,11,37
11.4,8,0.8,0.666667,0.0710361,1,18,11,38
11.7,8,0.8,0.666667,0.337396,1,19,11,39
12,8,0.8,0.666667,0.0871293,1,20,11,40
12.3,7,0.7,0.333333,-1,0,20,12,40
12.3,8,0.8,0.666667,0.648172,0,20,12,41
12.6,8,0.8,0.666667,0.0202184,1,21,12,42
12.9,8,0.8,0.666667,0.368242,1,22,12,43
13.2,9,0.9,1,0.83262,0,22,12,44
13.3,8,0.8,0.666667,-1,0,22,13,44
13.5,9,0.9,1,0.957155,0,22,13,45
13.8,9,0.9,1,0.778157,1,23,13,46
14.1,9,0.9,1,0.140351,1,24,13,47
14.3,8,0.8,0.666667,-1,0,24,14,47
14.4,9,0.9,1,0.870012,0,24,14,48
14.7,9,0.9,1,0.870087,1,25,14,49
15,9,0.9,1,0.978618,1,26,14,50
15.3,8,0.8,0.666667,-1,0,26,15,50
15.3,8,0.8,0.666667,0.473608,1,27,15,51
15.6,9,0.9,1,0.799159,0,27,15,52
15.9,9,0.9,1,0.800911,1,28,15,53
16.2,9,0.9,1,0.461479,1,29,15,54
16.3,8,0.8,0.666667,-1,0,29,16,54
16.5,8,0.8,0.666667,0.520477,1,30,16,55
16.8,9,0.9,1,0.780529,0,30,16,56
17.1,9,0.9,1,0.67888,1,31,16,57
17.3,8,0.8,0.666667,-1,0,31,17,57
17.4,8,0.8,0.666667,0.118274,1,32,17,58
17.7,9,0.9,1,0.720633,0,32,17,59
18,9,0.9,1,0.639921,1,33,17,60
18.3,8,0.8,0.666667,-1,0,33,18,60
18.3,8,0.8,0.666667,0.58202,1,34,18,61
