Time,QueueSize,QueueOccupancy,DropProbability,RandomNumber,PacketDropped,PacketsDropped,PacketsForwarded,PacketsReceived
41.5,6,0.6,0.333333,0.149675,1,35,41,83
42,7,0.7,0.666667,0.612096,0,35,41,84
42.5,6,0.6,0.333333,-1,0,35,42,84
42.5,6,0.6,0.333333,0.222321,1,36,42,85
43,7,0.7,0.666667,0.616934,0,36,42,86
43.5,6,0.6,0.333333,-1,0,36,43,86
43.5,7,0.7,0.666667,0.386489,0,36,43,87
44,8,0.8,1,0.943748,0,36,43,88
44.5,7,0.7,0.666667,-1,0,36,44,88
44.5,8,0.8,1,0.902598,0,36,44,89
45,8,0.8,1,0.68182,1,37,44,90
45.5,7,0.7,0.666667,-1,0,37,45,90
45.5,7,0.7,0.666667,0.44995,1,38,45,91
46,7,0.7,0.666667,0.359508,1,39,45,92
46.5,6,0.6,0.333333,-1,0,39,46,92
46.5,7,0.7,0.666667,0.613063,0,39,46,93
47,7,0.7,0.666667,0.437032,1,40,46,94
47.5,6,0.6,0.333333,-1,0,40,47,94
47.5,7,0.7,0.666667,0.902349,0,40,47,95
48,8,0.8,1,0.697631,0,40,47,96
48.5,7,0.7,0.666667,-1,0,40,48,96
48.5,7,0.7,0.666667,0.0992804,1,41,48,97
49,7,0.7,0.666667,0.0602255,1,42,48,98
49.5,6,0.6,0.333333,-1,0,42,49,98
49.5,7,0.7,0.666667,0.969809,0,42,49,99
50,8,0.8,1,0.666767,0,42,49,100
50.5,7,0.7,0.666667,-1,0,42,50,100
50.5,7,0.7,0.666667,0.65314,1,43,50,101
51,8,0.8,1,0.670638,0,43,50,102
51.5,7,0.7,0.666667,-1,0,43,51,102
51.5,7,0.7,0.666667,0.17091,1,44,51,103
52,7,0.7,0.666667,0.210383,1,45,51,104
52.5,6,0.6,0.333333,-1,0,45,52,104
52.5,7,0.7,0.666667,0.358152,0,45,52,105
53,7,0.7,0.666667,0.128926,1,46,52,106
53.5,6,0.6,0.333333,-1,0,46,53,106
53.5,7,0.7,0.666667,0.750686,0,46,53,107
54,7,0.7,0.666667,0.315428,1,47,53,108
54.5,6,0.6,0.333333,-1,0,47,54,108
54.5,7,0.7,0.666667,0.607831,0,47,54,109
55,7,0.7,0.666667,0.363711,1,48,54,110
55.5,6,0.6,0.333333,-1,0,48,55,110
55.5,6,0.6,0.333333,0.325047,1,49,55,111
56,7,0.7,0.666667,0.570197,0,49,55,112
56.5,6,0.6,0.333333,-1,0,49,56,112
56.5,6,0.6,0.333333,0.0384254,1,50,56,113
57,7,0.7,0.666667,0.438602,0,50,56,114
57.5,6,0.6,0.333333,-1,0,50,57,114
57.5,7,0.7,0.666667,0.634274,0,50,57,115
58,8,0.8,1,0.988374,0,50,57,116
58.5,7,0.7,0.666667,-1,0,50,58,116
58.5,8,0.8,1,0.958949,0,50,58,117
59,8,0.8,1,0.102045,1,51,58,118
59.5,7,0.7,0.666667,-1,0,51,59,118
59.5,7,0.7,0.666667,0.65279,1,52,59,119
60,7,0.7,0.666667,0.208877,1,53,59,120
60.5,6,0.6,0.333333,-1,0,53,60,120
60.5,7,0.7,0.666667,0.635059,0,53,60,121
61,7,0.7,0.666667,0.16131,1,54,60,122
61.5,6,0.6,0.333333,-1,0,54,61,122
61.5,7,0.7,0.666667,0.9953,0,54,61,123
62,7,0.7,0.666667,0.653108,1,55,61,124
62.5,6,0.6,0.333333,-1,0,55,62,124
62.5,7,0.7,0.666667,0.58185,0,55,62,125
63,7,0.7,0.666667,0.253292,1,56,62,126
63.5,6,0.6,0.333333,-1,0,56,63,126
63.5,7,0.7,0.666667,0.414369,0,56,63,127
64,7,0.7,0.666667,0.466311,1,57,63,128
64.5,6,0.6,0.333333,-1,0,57,64,128
64.5,7,0.7,0.666667,0.474698,0,57,64,129
65,7,0.7,0.666667,0.244426,1,58,64,130
65.5,6,0.6,0.333333,-1,0,58,65,130
65.5,7,0.7,0.666667,0.62351,0,58,65,131
66,7,0.7,0.666667,0.15897,1,59,65,132
66.5,6,0.6,0.333333,-1,0,59,66,132
66.5,7,0.7,0.666667,0.338008,0,59,66,133
67,7,0.7,0.666667,0.110375,1,60,66,134
67.5,6,0.6,0.333333,-1,0,60,67,134
67.5,7,0.7,0.666667,0.674752,0,60,67,135
68,7,0.7,0.666667,0.65633,1,61,67,136
68.5,6,0.6,0.333333,-1,0,61,68,136
68.5,6,0.6,0.333333,0.317202,1,62,68,137
69,6,0.6,0.333333,0.138183,1,63,68,138
69.5,5,0.5,0,-1,0,63,69,138
69.5,6,0.6,0.333333,0.778345,0,63,69,139
70,6,0.6,0.333333,0.196582,1,64,69,140
70.5,5,0.5,0,-1,0,64,70,140
70.5,6,0.6,0.333333,0.949571,0,64,70,141
71,7,0.7,0.666667,0.368725,0,64,70,142
71.5,6,0.6,0.333333,-1,0,64,71,142
71.5,7,0.7,0.666667,0.662527,0,64,71,143
72,8,0.8,1,0.820993,0,64,71,144
72.5,7,0.7,0.666667,-1,0,64,72,144
72.5,7,0.7,0.666667,0.0135716,1,65,72,145
73,7,0.7,0.666667,0.0971013,1,66,72,146
73.5,6,0.6,0.333333,-1,0,66,73,146
73.5,7,0.7,0.666667,0.622846,0,66,73,147
74,8,0.8,1,0.837945,0,66,73,148
74.5,7,0.7,0.666667,-1,0,66,74,148
74.5,8,0.8,1,0.67366,0,66,74,149
75,8,0.8,1,0.0960984,1,67,74,150
75.5,7,0.7,0.666667,-1,0,67,75,150
75.5,8,0.8,1,0.971945,0,67,75,151
76,8,0.8,1,0.976459,1,68,75,152
76.5,7,0.7,0.666667,-1,0,68,76,152
76.5,8,0.8,1,0.878193,0,68,76,153
77,8,0.8,1,0.468651,1,69,76,154
77.5,7,0.7,0.666667,-1,0,69,77,154
77.5,7,0.7,0.666667,0.509624,1,70,77,155
78,8,0.8,1,0.976761,0,70,77,156
78.5,7,0.7,0.666667,-1,0,70,78,156
78.5,7,0.7,0.666667,0.0557147,1,71,78,157
79,7,0.7,0.666667,0.604846,1,72,78,158
79.5,6,0.6,0.333333,-1,0,72,79,158
79.5,7,0.7,0.666667,0.451159,0,72,79,159
80,8,0.8,1,0.739264,0,72,79,160
80.5,7,0.7,0.666667,-1,0,72,80,160
80.5,7,0.7,0.666667,0.0199877,1,73,80,161
81,7,0.7,0.666667,0.0391878,1,74,80,162
81.5,6,0.6,0.333333,-1,0,74,81,162
81.5,7,0.7,0.666667,0.441711,0,74,81,163
82,7,0.7,0.666667,0.282807,1,75,81,164
82.5,6,0.6,0.333333,-1,0,75,82,164
